mode,rounds,clients,n_runs,seeds,elapsed_s_mean,elapsed_s_std,elapsed_overhead_s_mean,elapsed_overhead_s_std,elapsed_overhead_pct_mean,elapsed_overhead_pct_std,wall_clock_s_mean,wall_clock_s_std,wall_clock_overhead_s_mean,wall_clock_overhead_s_std,wall_clock_overhead_pct_mean,wall_clock_overhead_pct_std,proof_generation_total_s_mean,proof_generation_total_s_std,proof_verification_total_s_mean,proof_verification_total_s_std,encryption_total_s_mean,encryption_total_s_std,upload_bytes_mean,upload_bytes_std,test_f1_mean,test_f1_std,test_accuracy_mean,test_accuracy_std,test_auprc_mean,test_auprc_std,proofs_per_client_round,sources
baseline,2,2,2,42,0.03537416458129883,0.0039682100809976945,0.0,0.0,0.0,0.0,0.06677860021591187,0.009093688328407517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11656.0,0.0,82.82696489593042,2.6667525081095746,75.0,0.6874649261535923,86.4517684857218,3.428358059450163,,results/healthcare/20260914_202700/comparison_report.json;results/healthcare/20260914_203124/comparison_report.json
baseline,20,3,1,42,7.721177339553833,0.0,0.0,0.0,0.0,0.0,6.711147308349609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11656.0,0.0,84.51544620922371,0.0,81.90749007936508,0.0,84.2240772483855,0.0,,results/healthcare/keep_20260322_085429/comparison_report.json
dp,20,3,1,42,9.138874053955078,0.0,1.4176967144012451,0.0,18.361146908758432,0.0,8.127063382748775,0.0,1.4159160743991652,0.0,21.097973406686616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11656.0,0.0,84.96746050330962,0.0,81.46412037037037,0.0,81.07540935237273,0.0,,results/healthcare/keep_20260322_085429/comparison_report.json
he_concrete_tfhe,20,3,1,42,176.76404976844788,0.0,169.04287242889404,0.0,2189.34062766472,0.0,159.55062572161359,0.0,152.83947841326398,0.0,2277.3971631215754,0.0,0.0,0.0,0.0,0.0,208.4524097442627,0.0,18679335.066666666,0.0,83.9234981000881,0.0,68.3449074074074,0.0,81.17701047681015,0.0,,results/healthcare/keep_20260322_085429/comparison_report.json
he_concrete_tfhe_zkp,20,3,1,42,888.5147428512573,0.0,880.7935655117035,0.0,11407.503373865002,0.0,910.1461056073507,0.0,903.4349582990011,0.0,13461.7065725111,0.0,2221.960433483124,0.0,1.1145191192626953,0.0,220.920006275177,0.0,18680876.133333333,0.0,83.90847992005617,0.0,66.40972222222221,0.0,80.89597250159986,0.0,7,results/healthcare/keep_20260322_085429/comparison_report.json
he_concrete_tfhe_zkp_dp,20,3,1,42,891.1615850925446,0.0,883.4404077529907,0.0,11441.783667204829,0.0,914.7799543070086,0.0,908.0688069986589,0.0,13530.7536144959,0.0,2225.7375259399414,0.0,1.1322507858276367,0.0,222.22006273269653,0.0,18680876.866666667,0.0,84.3667247677295,0.0,68.51364087301587,0.0,82.830662597904,0.0,7,results/healthcare/keep_20260322_085429/comparison_report.json
he_elgamal_zkp,2,2,1,42,84.91085910797119,0.0,84.87267899513245,0.0,222295.51639513174,0.0,219.09797179698944,0.0,219.03762340545654,0.0,362955.1970511952,0.0,435.7239739894867,0.0,0.5331010818481445,0.0,0.0,0.0,192240.0,0.0,82.0414673046252,0.0,72.43055555555554,0.0,81.44045431879607,0.0,26,results/healthcare/20260914_203124/comparison_report.json
he_tenseal,20,3,1,42,13.019318580627441,0.0,5.298141241073608,0.0,68.61830790924122,0.0,9.836139996846516,0.0,3.1249926884969064,0.0,46.56420944015007,0.0,0.0,0.0,0.0,0.0,2.5066518783569336,0.0,673619.2372881356,0.0,86.13879543884073,0.0,80.74627976190477,0.0,81.69389155865602,0.0,,results/healthcare/keep_20260322_085429/comparison_report.json
he_tenseal_zkp,2,2,2,42,9.275182485580444,0.07930553320682673,9.239808320999146,0.07533732312582904,26273.583612409024,2734.3505687551965,32.13339865207672,15.141937094960193,32.06662005186081,15.132843406631785,46911.304535320814,16272.990967561902,63.46688771247864,30.42615183524952,0.054875850677490234,0.0012499069394390735,0.1503889560699463,0.10803754559888533,1336658.25,934968.4058900066,82.04316723465661,10.015641855016002,57.013888888888886,9.428090415820636,81.3207613985401,9.255974696072451,7,results/healthcare/20260914_202700/comparison_report.json;results/healthcare/20260914_203124/comparison_report.json
he_tenseal_zkp,20,3,1,42,690.6023502349854,0.0,682.8811728954315,0.0,8844.262252560718,0.0,724.3457551797231,0.0,717.6346078713735,0.0,10693.17323698938,0.0,2139.2884137630463,0.0,1.0889685153961182,0.0,3.1083741188049316,0.0,675199.8166666667,0.0,87.02244349612769,0.0,81.62202380952381,0.0,85.65402161630529,0.0,7,results/healthcare/keep_20260322_085429/comparison_report.json
