mode,rounds,clients,n_runs,seeds,elapsed_s_mean,elapsed_s_std,elapsed_overhead_s_mean,elapsed_overhead_s_std,elapsed_overhead_pct_mean,elapsed_overhead_pct_std,wall_clock_s_mean,wall_clock_s_std,wall_clock_overhead_s_mean,wall_clock_overhead_s_std,wall_clock_overhead_pct_mean,wall_clock_overhead_pct_std,proof_generation_total_s_mean,proof_generation_total_s_std,proof_verification_total_s_mean,proof_verification_total_s_std,encryption_total_s_mean,encryption_total_s_std,upload_bytes_mean,upload_bytes_std,test_f1_mean,test_f1_std,test_accuracy_mean,test_accuracy_std,test_auprc_mean,test_auprc_std,proofs_per_client_round,sources
baseline,20,3,1,42,1386.5545768737793,0.0,0.0,0.0,0.0,0.0,1364.2154610157013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16520.0,0.0,84.2027454027454,0.0,99.94602007469655,0.0,79.67483030145647,0.0,,results/creditcard/keep_20260322_022433/comparison_report.json
dp,20,3,1,42,1550.9256024360657,0.0,164.37102556228638,0.0,11.85463798568164,0.0,1529.0015125085345,0.0,164.78605149283317,0.0,12.079180760064453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16520.0,0.0,81.11453570584005,0.0,99.9299719887955,0.0,71.97191237363064,0.0,,results/creditcard/keep_20260322_022433/comparison_report.json
he_concrete_tfhe,20,3,1,42,1554.5416173934937,0.0,167.98704051971436,0.0,12.115429375918936,0.0,1579.0106554031372,0.0,214.7951943874359,0.0,15.744961153534657,0.0,0.0,0.0,0.0,0.0,257.58045721054077,0.0,26473829.8,0.0,81.88251748251747,0.0,99.93640448603685,0.0,74.40339206430484,0.0,,results/creditcard/keep_20260322_022433/comparison_report.json
he_concrete_tfhe_zkp,20,3,1,42,2617.595739364624,0.0,1231.0411624908447,0.0,88.78418368979274,0.0,2671.069414536158,0.0,1306.8539535204568,0.0,95.79527507681689,0.0,3072.219773054123,0.0,1.156290054321289,0.0,283.8059298992157,0.0,26475371.166666668,0.0,86.67635327635327,0.0,99.93534913965586,0.0,81.67464164949673,0.0,7,results/creditcard/keep_20260322_022433/comparison_report.json
he_concrete_tfhe_zkp_dp,20,3,1,42,2839.0968894958496,0.0,1452.5423126220703,0.0,104.75911564166998,0.0,2895.6368699925074,0.0,1531.421408976806,0.0,112.2565645045992,0.0,3036.9281525611877,0.0,1.121706247329712,0.0,276.44375801086426,0.0,26475371.683333334,0.0,76.73326534576532,0.0,99.92589049508693,0.0,66.28802787051096,0.0,7,results/creditcard/keep_20260322_022433/comparison_report.json
he_tenseal,20,3,1,42,1274.5524988174438,0.0,-112.00207805633545,0.0,-8.077725891530573,0.0,1261.6930417219799,0.0,-102.52241929372144,0.0,-7.515119291888854,0.0,0.0,0.0,0.0,0.0,3.084277391433716,0.0,673723.6101694915,0.0,80.0291454117541,0.0,99.93890785480858,0.0,74.72840877888794,0.0,,results/creditcard/keep_20260322_022433/comparison_report.json
he_tenseal_zkp,20,3,1,42,2232.3785910606384,0.0,845.8240141868591,0.0,61.001855123071444,0.0,2285.158243338267,0.0,920.9427823225656,0.0,67.50713568638892,0.0,2930.1022288799286,0.0,1.100226640701294,0.0,4.166353702545166,0.0,675227.6333333333,0.0,81.01877070298123,0.0,99.94365928189457,0.0,76.55219488131218,0.0,7,results/creditcard/keep_20260322_022433/comparison_report.json
he_tenseal_zkp_dp,20,3,1,42,2436.4033024311066,0.0,1049.8487255573273,0.0,75.71636508707707,0.0,2495.6336443219097,0.0,1131.4181833062084,0.0,82.93544646267475,0.0,2900.7809286117554,0.0,1.1164517402648926,0.0,4.04961633682251,0.0,675226.4666666667,0.0,82.46655011655011,0.0,99.91859243697478,0.0,73.50559542378751,0.0,7,results/creditcard/keep_20260322_022433/comparison_report.json
zkp,20,3,1,42,2256.8809030056,0.0,870.3263261318207,0.0,62.76899161763382,0.0,2335.949722687403,0.0,971.7342616717019,0.0,71.23026306623261,0.0,3230.8868296146393,0.0,3.6380417346954346,0.0,0.0,0.0,18060.0,0.0,85.95384615384614,0.0,99.94080965719621,0.0,80.34064735200785,0.0,7,results/creditcard/keep_20260322_022433/comparison_report.json
zkp_sampled,20,3,1,42,2242.1032688617706,0.0,855.5486919879913,0.0,61.703210696326856,0.0,2191.6892610390983,0.0,827.473800023397,0.0,60.65565327982111,0.0,2826.827399969101,0.0,3.6116342544555664,0.0,0.0,0.0,18060.0,0.0,85.47608687608685,0.0,99.93955915699614,0.0,80.70748201945813,0.0,7,results/creditcard/keep_20260322_022433/comparison_report.json
