mode,rounds,clients,n_runs,seeds,elapsed_s_mean,elapsed_s_std,elapsed_overhead_s_mean,elapsed_overhead_s_std,elapsed_overhead_pct_mean,elapsed_overhead_pct_std,wall_clock_s_mean,wall_clock_s_std,wall_clock_overhead_s_mean,wall_clock_overhead_s_std,wall_clock_overhead_pct_mean,wall_clock_overhead_pct_std,proof_generation_total_s_mean,proof_generation_total_s_std,proof_verification_total_s_mean,proof_verification_total_s_std,encryption_total_s_mean,encryption_total_s_std,upload_bytes_mean,upload_bytes_std,test_f1_mean,test_f1_std,test_accuracy_mean,test_accuracy_std,test_auprc_mean,test_auprc_std,proofs_per_client_round,sources
baseline,20,3,1,42,950.5773179531097,0.0,0.0,0.0,0.0,0.0,908.1648524602255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177704.0,0.0,97.73423269835408,0.0,97.76611328125,0.0,99.57289099449352,0.0,,results/mnist/keep_20260319_180156/comparison_report.json
dp,20,3,1,42,1071.2114844322205,0.0,120.63416647911072,0.0,12.69062118364804,0.0,1026.5919350216354,0.0,118.42708256140997,0.0,13.040262705673987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177704.0,0.0,93.9329012494712,0.0,93.94624255952381,0.0,98.05654877048447,0.0,,results/mnist/keep_20260319_180156/comparison_report.json
he_concrete_tfhe,20,3,1,42,1015.9850564002991,0.0,65.40773844718933,0.0,6.880843589665346,0.0,1043.5145718256633,0.0,135.34971936543786,0.0,14.90365091742699,0.0,0.0,0.0,0.0,0.0,83.24002313613892,0.0,71038.05,0.0,97.52198639925378,0.0,97.53753823578042,0.0,99.48932835798936,0.0,,results/mnist/keep_20260319_180156/comparison_report.json
he_concrete_tfhe_zkp,20,3,1,42,10741.362257003784,0.0,9790.784939050674,0.0,1029.9830170714883,0.0,11286.748773018518,0.0,10378.583920558292,0.0,1142.8083670539143,0.0,30874.13781452179,0.0,5.4049999713897705,0.0,81.12901782989502,0.0,77790.61666666667,0.0,97.3949506467865,0.0,97.42438099371692,0.0,99.43521794546517,0.0,31,results/mnist/keep_20260319_180156/comparison_report.json
he_concrete_tfhe_zkp_dp,20,3,1,42,10954.540380477905,0.0,10003.963062524796,0.0,1052.4091910867867,0.0,11506.442604490565,0.0,10598.277752030339,0.0,1166.9993309385982,0.0,31324.554992437363,0.0,5.421139717102051,0.0,80.02499318122864,0.0,81416.23333333334,0.0,94.78912699696087,0.0,95.15664457070709,0.0,98.3400023019944,0.0,31,results/mnist/keep_20260319_180156/comparison_report.json
he_tenseal,20,3,1,42,982.7976260185242,0.0,32.22030806541443,0.0,3.389551534302841,0.0,966.5332282384237,0.0,58.36837577819824,0.0,6.427068347787064,0.0,0.0,0.0,0.0,0.0,0.6857876777648926,0.0,165189.2033898305,0.0,97.17876052101734,0.0,97.100830078125,0.0,99.39542129455026,0.0,,results/mnist/keep_20260319_180156/comparison_report.json
he_tenseal_zkp,20,3,1,42,10871.38167476654,0.0,9920.80435681343,0.0,1043.6609594447325,0.0,11419.128168026606,0.0,10510.96331556638,0.0,1157.3849491193257,0.0,31305.80460166931,0.0,5.596325874328613,0.0,0.5704827308654785,0.0,171976.58333333334,0.0,97.12200499630737,0.0,97.11751302083333,0.0,99.40804337412962,0.0,31,results/mnist/keep_20260319_180156/comparison_report.json
he_tenseal_zkp_dp,20,3,1,42,10741.377277612686,0.0,9790.799959659576,0.0,1029.9845972279488,0.0,11273.92452042309,0.0,10365.759667962864,0.0,1141.3962608090308,0.0,30754.870780706406,0.0,5.49233603477478,0.0,0.5861718654632568,0.0,172307.11666666667,0.0,94.26009789338993,0.0,93.91927083333333,0.0,98.22458717936965,0.0,31,results/mnist/keep_20260319_180156/comparison_report.json
zkp,20,3,1,42,11274.877861738205,0.0,10324.300543785095,0.0,1086.1084468138313,0.0,11441.319562037786,0.0,10533.15470957756,0.0,1159.828491605149,0.0,31244.69803071022,0.0,31.90019679069519,0.0,0.0,0.0,184524.0,0.0,97.6204945590645,0.0,97.55701135706018,0.0,99.55725091370604,0.0,31,results/mnist/keep_20260319_180156/comparison_report.json
zkp_sampled,20,3,1,42,10981.269706726074,0.0,10030.692388772964,0.0,1055.2210955729706,0.0,11120.651465813318,0.0,10212.486613353092,0.0,1124.5190326059624,0.0,30406.99989080429,0.0,31.912309408187866,0.0,0.0,0.0,184524.0,0.0,97.59639837562874,0.0,97.57265033143939,0.0,99.49904085580708,0.0,31,results/mnist/keep_20260319_180156/comparison_report.json
